Numero de la Orden de Compra;EAN Entidad a Facturar;Nombre Entidad a Facturar;EAN Lugar Entrega Factura;Nombre Lugar Entrega Factura;F. Documento O/C;F. Minima Entrega;F. Maxima Entrega;F. Solicitada de Entrega;EAN del Item;PLU / SKU;Codigo Item Proveedor;Descripcion del Item;EAN Lugar Entrega Items;Nombre Lugar Entrega Items;Cantidad Total;EAN Punto de Venta;Nombre Punto de Venta;Cantidad Pto Vta;Precio Bruto;Precio Neto;% IVA
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666112779;675855;T2005MFG01;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900122;SODIMAC - CAJICA;6;22500;22500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666250495;3057525;T2010SNA06;;7703670529804;SODIMAC - CEDI FUNZA;16;7703670900580;SODIMAC - AV EL DORADO;4;378000;378000;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666250495;3057525;T2010SNA06;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900801;SODIMAC - BOGOTA SUR;1;378000;378000;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666250495;3057525;T2010SNA06;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900702;SODIMAC - BOGOTA NORTE;2;378000;378000;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666250495;3057525;T2010SNA06;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900306;SODIMAC - CALI SUR;1;378000;378000;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666250495;3057525;T2010SNA06;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900504;SODIMAC - BARRANQUILLA NORTE;1;378000;378000;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666250495;3057525;T2010SNA06;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900603;SODIMAC - PEREIRA;2;378000;378000;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666250495;3057525;T2010SNA06;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900412;SODIMAC - MEDELLIN SAN JUAN;1;378000;378000;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666250495;3057525;T2010SNA06;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900115;SODIMAC - BOGOTA CEDRITOS;1;378000;378000;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666250495;3057525;T2010SNA06;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900443;SODIMAC - ENVIGADO;3;378000;378000;;
